frame,left_knee_flexion,right_knee_flexion,left_hip_flexion,right_hip_flexion,left_ankle_flexion,right_ankle_flexion
129,178.45972,174.09491,174.36977,170.93805,164.73668,100.90598
130,179.3785,178.04124,174.62045,169.47922,161.3794,121.7304
131,176.71365,171.60686,178.59666,168.9063,153.932,109.36454
132,165.45851,174.58191,175.44112,179.20229,101.25777,134.26324
133,160.42336,173.28842,178.60814,179.77531,101.965775,148.87726
134,160.63754,177.17776,176.96474,176.4441,104.48373,146.23096
135,160.01686,178.03397,174.8052,179.69226,109.16392,143.85234
136,154.2054,177.89949,174.66827,178.11487,110.66829,144.4622
137,150.74326,178.10461,174.43394,178.26212,113.34765,135.65334
138,141.76454,176.17105,174.78665,178.07368,118.49488,131.64243
139,132.50166,176.30571,179.33264,177.74683,119.588684,133.64055
140,128.60231,178.55516,175.44748,176.41443,123.79176,138.60075
141,128.97672,179.12396,171.95956,178.87291,121.44297,138.99791
142,127.83511,178.87291,170.82416,178.15009,127.922195,140.68903
143,130.09772,179.2881,168.34995,177.62709,138.37344,141.49823
144,143.70071,177.61172,165.88095,174.94307,100.724785,131.34637
145,147.66333,172.53659,166.54225,178.38734,116.86196,129.46013
146,157.6349,175.4044,168.74237,171.48,122.943695,128.65482
147,168.58745,176.53964,168.97021,170.83276,127.47011,129.43858
148,179.84172,177.19151,172.96335,169.43353,123.70878,118.60969
149,173.02101,178.2482,174.66908,165.91417,117.53118,116.25349
150,169.00375,177.78255,171.3925,166.85284,117.85046,110.672226
151,167.49966,178.69838,168.05786,166.92134,119.312035,117.95183
152,175.0046,168.60136,177.37206,157.1911,94.46325,121.01608
153,174.30476,169.29977,173.8182,165.7661,95.03091,117.49703
154,157.97096,172.07794,152.9357,154.3867,87.36751,76.55756
155,174.6221,173.85286,171.67062,160.40715,126.046326,106.085594
156,175.69843,171.68361,173.40952,161.2415,134.18442,121.992035
157,176.78386,167.35564,174.6642,159.74603,132.73988,131.15553
158,179.92087,159.86787,174.0903,163.5176,135.15135,135.5609
159,177.07101,159.20616,174.74919,160.23372,128.41962,139.96301
160,173.66861,151.34117,173.86696,164.75352,126.12557,147.205
161,171.36136,147.99419,175.48247,165.45717,123.130165,150.35966
162,169.56827,144.3029,175.30797,166.52357,121.70179,147.24245
163,168.14142,144.20274,175.9456,170.70845,120.299416,142.7324
164,166.69928,142.06508,175.24152,174.81747,120.26176,139.70044
165,166.51346,149.32263,175.70859,175.7841,120.543915,115.58969
166,165.00053,155.2211,176.29128,174.88472,115.57304,113.17198
167,165.64757,160.3072,175.9985,175.45131,128.6427,130.85275
168,176.60649,160.14745,176.83379,178.38298,147.73463,115.16716
169,168.6651,167.7221,179.29224,170.36073,109.28805,130.84496
170,169.6822,167.14577,176.67915,169.97427,113.25145,125.00337
171,171.75534,171.29147,174.80284,170.46895,107.17324,125.24795
172,171.31009,174.9314,171.99522,169.62776,103.84158,119.9674
173,173.57484,179.18004,168.73633,171.36435,105.48595,118.51731
174,172.09315,177.62866,170.48674,169.49323,107.7131,124.5758
175,170.71188,176.4025,169.49265,171.04599,108.61894,129.4543
176,167.67528,175.38368,168.7831,172.28033,111.03724,130.18591
177,166.31372,172.72284,167.34871,174.39055,114.329834,124.773674
178,158.76103,170.44345,168.6454,173.96072,122.38439,122.72315
179,151.52187,169.36314,170.06516,175.96118,121.34399,118.44038
180,139.85658,168.70113,174.19899,175.89777,122.27554,118.906746
181,132.24525,169.09781,177.60207,176.06795,118.173386,119.54097
182,127.841255,169.319,177.28134,175.94377,120.79693,117.936295
183,126.40667,172.55542,175.21011,179.50305,115.84832,120.87802
184,127.22502,173.12633,171.1475,178.1009,123.86546,118.796234
185,130.04164,175.39423,171.12479,177.5923,144.3957,121.96317
186,142.75502,173.61845,168.81949,177.07162,109.7192,119.98105
187,143.10738,171.67422,167.3898,174.19035,108.97501,115.157364
188,152.5585,168.39694,168.78065,178.94908,118.465775,118.36807
189,161.85768,167.68724,169.08801,175.05272,123.004585,118.387085
190,171.74861,169.15343,167.69196,175.51408,123.8016,118.13682
191,178.99147,167.43251,169.13148,172.59836,117.54487,104.92138
192,172.62737,169.94722,172.45737,167.19421,119.15088,103.61799
193,168.50652,165.29645,170.86804,170.59077,122.7582,109.85834
194,167.04176,163.48302,173.3724,169.07909,123.93433,104.6155
195,170.33447,162.36504,172.1583,167.94275,121.10762,102.081604
196,174.47038,157.2477,171.45662,176.54044,127.98036,100.97057
197,176.92297,155.73273,173.14896,169.61545,125.83018,107.119774
198,179.771,154.26697,171.35931,171.21294,122.26296,113.37735
199,176.27531,151.52612,170.55595,173.3812,121.59323,122.61579
200,175.23695,142.32806,172.78117,172.64114,117.47797,126.03383
201,169.10962,128.42236,170.42676,178.0804,112.602844,124.126526
202,166.44008,172.60786,171.88538,177.23444,113.38506,148.4587
203,165.34024,123.84015,172.85986,177.74466,109.40179,124.72392
204,163.23433,118.35485,173.59833,170.29169,108.66145,125.4256
205,163.46205,128.44449,173.36736,173.95566,105.14464,126.79827
206,165.94887,132.84718,178.3066,171.5448,105.85899,114.69028
207,178.26494,139.89775,176.23964,169.5938,118.94099,122.178116
208,169.94583,137.87866,174.59581,169.05357,138.51799,103.26544
209,179.86153,152.95961,171.06042,168.517,109.424286,116.679695
210,178.70834,161.19814,169.60184,166.87418,106.09062,122.49479
211,175.21548,170.44044,171.84035,166.81297,102.765434,124.42903
212,172.92876,177.5678,168.8873,168.7312,101.705055,126.9033
213,173.14555,178.9504,168.55516,168.86334,100.87511,124.430275
214,171.42819,176.47517,168.26122,169.59833,98.12999,123.55212
215,170.07948,179.11751,166.17679,168.21619,98.15021,127.61888
216,167.0059,179.07169,165.72838,173.07016,95.83914,127.4872
217,162.09036,176.77742,168.92758,172.04608,100.53605,125.91009
218,159.88344,170.97993,166.90732,171.34952,102.43593,118.1343
219,151.85387,165.19511,169.29892,170.45007,112.095856,113.65714
220,146.47707,164.02438,170.36946,171.47455,115.18368,111.062355
221,143.889,163.90059,171.98299,173.66927,125.57522,111.30105
222,148.68575,160.41641,171.28392,173.37726,127.40463,109.672646
223,151.11723,161.019,170.54698,177.77452,130.30101,109.6349
224,128.74557,165.88705,175.2623,176.35503,118.48581,113.73382
225,147.70465,155.91966,145.78555,160.10107,148.15147,97.91103
226,139.41151,170.69128,164.24426,172.53622,87.21156,109.15849
227,140.46684,165.89873,163.77138,172.50343,104.86778,107.18924
228,141.91298,166.71133,165.23149,170.41156,105.7299,110.59567
229,152.12756,166.59686,164.54143,172.1301,110.766266,108.097275
230,166.01917,164.06235,168.76314,169.09026,111.677864,99.52382
231,179.29556,164.36086,166.99199,168.20036,114.40569,97.01117
232,173.07297,164.51848,167.40294,166.35193,116.69345,94.73376
233,167.15224,165.57155,170.95758,164.16261,119.16378,95.13638
234,167.23306,164.01752,169.53291,165.00546,118.077095,92.64357
235,168.68468,163.32004,170.329,179.645,120.822395,91.78183
236,172.43347,158.1311,169.61108,165.05461,124.36805,90.30855
237,173.95706,150.37938,173.7948,169.95795,123.13145,91.72892
238,176.71227,146.40744,173.68512,168.52562,118.78241,94.307205
239,175.61072,138.77687,178.23198,169.88135,117.478935,100.276054
240,171.79689,125.07193,176.78459,176.87361,103.89932,105.01662
241,166.8492,118.902374,177.45338,178.9639,99.71943,117.73867
242,168.44467,177.89912,163.81691,164.051,112.37864,92.70722
243,171.91655,176.7762,179.66661,121.24936,111.33722,88.62245
244,178.34673,169.25392,170.62688,157.79845,110.85334,87.66179
245,178.07735,164.15111,177.9267,154.73936,103.90129,87.08917
